,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2015-05-05,4,"""_（*^_^*）_さん"" ",https://review.rakuten.co.jp/my/ZjQ3MjhiYzQxZDFh/1.0.0.1/,50代 女性,"
","
","
",ずっと買ってます,"298616-20150430-0428398109送料無料になるので大変ありがたいです。　

ルミニークが販売されてからずっと使い続けています。詰替え用はシャンプーもリンスもとても入れづらくて、毎回少しこぼしてますが・・"
2015-05-03,5,"ゲストさん"" ","
","
","
","
","
","
","甘い感じのいい香りです。　

髪の毛も少しコシがでて、フワッとなってる気がします。　

最近のシャンプーは高いなぁと思いながらもリピートしてしまいました。"
2015-04-26,5,"""_（*^_^*）_さん"" ",https://review.rakuten.co.jp/my/ZjQ3MjhiYzQxZDFh/1.0.0.1/,50代 女性,"
","
","
",リピート決定,"天パの娘のお気に入りです。使ったその翌日に友達からヘアスタイル変えた？とか、なんか感じが違うけど美容院行った？とか聞かれて上機嫌で帰って来ました。まとまりにくかった髪がしっとりまとまり、艶も出て、発売当初からずっと使い続けています。　

ただ、つめかえ用なのに、つめかえにくい・・・普通のコンディショナーより固め（？）でドローッとしてるので、うまく入らずにはみ出ることも・・"
2015-04-13,5,"""happy_happy8646さん"" ",https://review.rakuten.co.jp/my/NjY4MGYxZDAyNGU1MTkxZg__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,"
",ツヤが出てかおりも良くお気に入りです。家族みんなで使ってます。
2015-04-12,5,"""*yukaチン*さん"" ",https://review.rakuten.co.jp/my/Yjg0Y2E1MDg2OTdkODY_/1.0.0.1/,30代 女性,実用品・普段使い,"
","
","
","送料無料対策に購入しました。　

髪の毛が多くて広がりやすいのが、朝いつもよりスタイリングしやすかったです！ツルツルしっとり！　

ドラッグストアと同じくらいのお値段で送料無料で購入できたのでよかったです！きっとまたリピします！"
2015-04-10,5,"""リーゼ8889さん"" ",https://review.rakuten.co.jp/my/NzAzYjQzZTNhNTY4/1.0.0.1/,40代 女性,"
","
","
","
",送料対策で買いましたが、匂いも良さそうなので、使うのが楽しみです。
2015-03-31,5,"""せっちゃん8602さん"" ",https://review.rakuten.co.jp/my/OWEyNjUwYWMwNzExNGE_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,送料無料対策に購入しました。,"こちらの商品は、送料無料だったので、本当は食器洗剤のジョイが欲しかったのですが、同梱しました。　

私は面倒臭がりで、リンスインシャンプーで充分という感覚です。　

でも、加齢とともに髪に保湿力がなくなり、翌朝になると、まとまらなくて困っていました。　

こちらの商品を、適量手に取り、髪に馴染ませた後に、シャワーで濯ぎましたが、既にタオルオフの段階で櫛でとかす必要がないくらい、さらさらでしっとりしていました。　

翌朝も、冬場で乾燥しがちなのに、仕上がりのまとまりは歴然でした。　

フローラルの甘い、凄くよい香りがするので、テンション上がりまーす(^^)v！"
2015-03-28,4,"""よーらいさん"" ",https://review.rakuten.co.jp/my/MGE2NGZhOGQ2OTY0NDcxOQ__/1.0.0.1/,50代 女性,"
","
","
",いい感じです。,こちらの商品を使って三週間です。髪に艶がでできたような感じです。香りも良くしっとりしていてサラサラな髪になります。とても嬉しいです。リピありです。
2015-03-21,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,リピ,以前に購入して気に入ったので再購入。実家に持っていきます。
2015-03-17,5,"ゲストさん"" ","
","
","
","
","
","
",まだ使用していませんが、匂いが良さそうなので楽しみです。
2015-03-16,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,送料対策に・・,"送料対策でポチしました♪　

他店よりお安く購入できたので満足しています。"
2015-03-11,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,ルミニーク♪,"ラックスはずっと好きで使ってましたが、ノンシリコンは髪がきしんでいいイメージがありませんでした。　

ルミニークは初めて納得できるノンシリコンシャンプーになりました。香りもいいです"
2015-02-25,5,"ゲストさん"" ","
","
","
","
","
","
",送料無料で満足です。また利用したいです。
2015-02-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",送料対策で購入しました。近所のドラッグストアの値段と変わらなかったので送料分お得でした。
2015-02-21,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
","送料対策で購入しました。　

ラックスをいつも使用している妻用です。　

まだ使用前ですが、気に入りそうです。"
2015-02-13,5,"ゲストさん"" ","
","
","
","
","
","
",送料対策で購入しました。薔薇の香りが大好きなので、使用するのが楽しみです。
2015-02-13,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,助かります！,ノンシリコンをいろいろ試しましたがこれが一番、かつ送料込。本当に助かります。
2015-02-11,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,"
","
","本体を使い切った後、近くのドラッグストアではこんな値段では買えないので迷わず購入。　

しっとり感があり香りもいいです。ただ本体に詰め替える量としては少なすぎ。"
2015-02-11,3,"""劉　仁さん"" ",https://review.rakuten.co.jp/my/MDBkNmE0NTAwMzM4/1.0.0.1/,30代 男性,"
",家族へ,"
",楽しみです,香りも評価がよく、ダメージケアもいいみたいなので買いました。使用するのが楽しみです
2015-02-10,5,"ゲストさん"" ","
","
","
","
","
","
","以前から使っていて、お気に入りの商品です。　

送料別のシャンプーを注文して、こちらの商品も注文したところ、送料無料になったので助かりました。"
2015-02-04,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,ラックスノンシリコン,"好きな商品がとても安く購入できました(*^^*)　

またリピートしたいと思います(*^^*)"
2015-02-04,5,"""ピグえもん40さん"" ",https://review.rakuten.co.jp/my/NWRlOGY1YjM0N2ZlMmIxNw__/1.0.0.1/,40代 男性,実用品・普段使い,自分用,はじめて,"
","このシリーズはまだ使い始めたばかりですが、髪がサラサラに、そして柔らかくなったような感じがします。気に入ったので、初の詰め替えをこちらで購入。　

これ以外にも送料込みでない同じ商品、シャンプーの詰め替え、その他を一緒に購入しました。　

送料込みになってるこの商品もお安いのに、これを１つ買うことで他のものも送料無料で買うことができてすごく得しました。　

こちらのお店は初めての利用でしたが、次もこちらでまとめ買いしたいです。良いお店を見つけたなと思っています。"
2015-02-03,4,"ゲストさん"" ","
","
","
","
","
","
","送料対策で購入しましたが、シャンプーと間違えました…　

でもいい機会なので試しに使ってみます！"
