,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2018-08-30,5,"""ダイヤモンド 会員さん"" ",https://review.rakuten.co.jp/my/MTJlZmYyNWI1MjI3OWY_/1.0.0.1/,30代 男性,実用品・普段使い,家族へ,はじめて,"
",近所の薬局にはこんな大容量のは置いていないので。ネットで見つけてつかさず購入。僕と息子達が使う分。
2018-08-06,4,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,"
","
",リピート,"
",御徳用はいつも購入しています。何回も購入しなくていいのが便利です
2018-08-03,5,"""hn705さん"" ",https://review.rakuten.co.jp/my/MGZhNzIzZTY3ZGQzMTA_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,お得,"大袋なので、コスパもいいし何度も買わなくてすみます。　

子供たちも匂いも気に入って使っています。"
2018-07-25,5,"""ゆき5879さん"" ",https://review.rakuten.co.jp/my/NzgzNDI3MjVjNmNhNDQxZQ__/1.0.0.1/,40代 女性,"
","
","
","
",この大きさの商品はお店にないのでありがたいです。
2018-07-21,1,"ゲストさん"" ","
","
","
","
","
",非常に残念です,三ヶ月前に注文したときは新パッケージでしたが、今回は旧パッケージに戻っていました。問い合わせると「在庫状況によっては、リニューアル前商品をお届けする場合がございます。予めご了承ください。と記載しています」と言われました。確かに記載はありますが、新パケが届いた三ヶ月後に旧パケに戻るとは思いもしませんでした（確か新パケにリニューアルしたのは2017年8月頃です）電話窓口の方の説明によると、業者から『新パケ』又は『旧パケ』のどちらが入庫するかは把握しておらず「どちらの商品発送になるかはわかりません。また、お客様にどちらを発送したかもわかりません」と言われ、ずさんな管理に呆れました。リニューアルから約1年経過しているにもかかわらず、今も業者から旧パケを仕入れているとは。こちらのショップは何度も利用しておりましたが、今後利用することはありません。
2018-07-17,5,"""虹色いちごさん"" ",https://review.rakuten.co.jp/my/Njg5YjczMzk0ODUz/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,"
",いつも使っているので、大きいサイズは助かります！
2018-07-14,2,"ゲストさん"" ","
","
","
","
","
","
",いつものシャンプーをお得な価格で買えて良かったですが、配送が3週間かかり、購入したのを忘れるくらい。ちょっと呆れました。
2018-07-14,2,"""Happy Angelsさん"" ",https://review.rakuten.co.jp/my/ZGQ0YjhiN2I4NzE1OTQxMA__/1.0.0.1/,50代 女性,"
","
","
","
","注文してから、2週間以内に発送と書いてありましたが、2週間を過ぎても発送完了メールが届かず、問い合わせしてしばらくしてから欠品のメールが届き、かなり待たされてやっと到着しました。　

商品は定番なので言う事はありません。"
2018-07-07,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",シャンプーは自分で買い物すると重くてかさばりますが、配送でその手間が無く楽でした。配送も早く助かりました。リピートします。
2018-06-25,5,"ゲストさん"" ","
","
","
","
","
","
",リピです。大容量なのでゴミも減り、置場所も小スペースで済みました
2018-06-18,4,"""shadow ladyさん"" ",https://review.rakuten.co.jp/my/MjNkMjExNzQ5ZjRlYjI_/1.0.0.1/,60代 女性,実用品・普段使い,自分用,はじめて,重たい。,シャンプーはなかなか減らないのですが、シャンプーとお揃いで購入しました。
2018-06-16,5,"ゲストさん"" ","
","
",実用品・普段使い,"
",はじめて,助かります,"早めに発送して欲しいと無理なお願いを聞いて頂きありがとうございます^^*　

量が多いので 一時買わなくてすむ！！　

近場に2個分のは売ってるんですけど それを何個も買うより こっちを買った方が得だと思い購入しました！！！！"
2018-06-09,5,"""ananririyuyuさん"" ",https://review.rakuten.co.jp/my/M2VhYWE5NTlhNGFjMjgxZg__/1.0.0.1/,40代 男性,"
","
","
",安かった,"家に届いて買いに行く手間もなくお値段も安いし　

また買います"
2018-06-08,5,"ゲストさん"" ","
","
","
","
","
","
","思っていたよりもかなり早く届きました。　

ストックがなくて困っていたのでとても助かりました。"
